"areaovacres"|"lareaovkey"|"mukey"|"muareaovkey"
3279|549688|575677|33000075
1188|549683|575678|33000259
1188|549684|575678|33000258
1188|549685|575678|33000001
1188|549686|575678|33000262
1188|549687|575678|33000261
1188|549688|575678|33000260
18689|549683|575679|33000299
18689|549684|575679|33000298
18689|549685|575679|33000009
18689|549686|575679|33000302
18689|549687|575679|33000301
18689|549688|575679|33000300
3114|549683|575680|33000264
3114|549684|575680|33000263
3114|549685|575680|33000002
3114|549686|575680|33000267
3114|549687|575680|33000266
3114|549688|575680|33000265
7914|549683|575681|32999738
7914|549684|575681|32999737
7914|549685|575681|32999949
7914|549686|575681|32999741
7914|549687|575681|32999740
7914|549688|575681|32999739
2959|549683|575682|33000269
2959|549684|575682|33000268
2959|549685|575682|33000003
2959|549686|575682|33000272
2959|549687|575682|33000271
2959|549688|575682|33000270
3430|549683|575683|33000027
3430|549684|575683|33000026
3430|549685|575683|33000025
3430|549686|575683|33000024
3430|549687|575683|33000023
3430|549688|575683|32999954
946|549683|575684|33000277
946|549684|575684|33000276
946|549685|575684|33000275
946|549686|575684|33000274
946|549687|575684|33000273
946|549688|575684|33000004
1676|549683|575685|33000034
1676|549684|575685|33000033
1676|549685|575685|32999956
1676|549686|575685|33000037
1676|549687|575685|33000036
1676|549688|575685|33000035
57|549683|575686|33000279
57|549684|575686|33000278
57|549685|575686|33000005
57|549686|575686|33000282
57|549687|575686|33000281
57|549688|575686|33000280
19621|549683|575687|33000284
19621|549684|575687|33000283
19621|549685|575687|33000006
19621|549686|575687|33000287
19621|549687|575687|33000286
19621|549688|575687|33000285
23|549683|752540|33000289
23|549684|752540|33000288
23|549685|752540|33000007
23|549686|752540|33000292
23|549687|752540|33000291
23|549688|752540|33000290
82|549683|752541|33000294
82|549684|752541|33000293
82|549685|752541|33000008
82|549686|752541|33000297
82|549687|752541|33000296
82|549688|752541|33000295
4276|549683|3009430|33000079
4276|549684|3009430|33000078
4276|549685|3009430|32999965
4276|549686|3009430|33000082
4276|549687|3009430|33000081
4276|549688|3009430|33000080
17521|549683|3009431|33000304
17521|549684|3009431|33000303
17521|549685|3009431|33000010
17521|549686|3009431|33000307
17521|549687|3009431|33000306
17521|549688|3009431|33000305
5927|549683|3009432|33000309
5927|549684|3009432|33000308
5927|549685|3009432|33000011
5927|549686|3009432|33000312
5927|549687|3009432|33000311
5927|549688|3009432|33000310
13846|549683|3009457|33000064
13846|549684|3009457|33000063
13846|549685|3009457|32999962
13846|549686|3009457|33000067
13846|549687|3009457|33000066
13846|549688|3009457|33000065
2607|549986|578200|33016506
2607|549987|578200|33016507
2607|549988|578200|33016508
2607|549989|578200|33016509
2607|549990|578200|33016510
2607|549991|578200|33016511
438|549986|578201|33016170
438|549987|578201|33016171
438|549988|578201|33016172
438|549989|578201|33016173
438|549990|578201|33016174
438|549991|578201|33016175
3807|549986|578202|33016218
3807|549987|578202|33016219
3807|549988|578202|33016220
3807|549989|578202|33016221
3807|549990|578202|33016222
3807|549991|578202|33016223
802|549986|578203|33016224
802|549987|578203|33016225
802|549988|578203|33016226
802|549989|578203|33016227
802|549990|578203|33016228
