"unifiedcl"|"rvindicator"|"chkey"|"chunifiedkey"
"CH"|"Yes"|72024958|133852159
"CL"|"No "|72024958|133852160
"CL"|"Yes"|72024959|133852161
"SC-SM"|"No "|72024959|133852162
"CH"|"Yes"|72024957|133852156
"MH"|"No "|72024957|133852157
"CL"|"No "|72024957|133852158
"CH"|"Yes"|72025204|133852632
"MH"|"No "|72025204|133852633
"CL"|"No "|72025204|133852634
"CH"|"Yes"|72025205|133852635
"CL"|"No "|72025205|133852636
"CL"|"Yes"|72025206|133852637
"SC-SM"|"No "|72025206|133852638
"SC-SM"|"Yes"|72025002|133852241
"SM"|"No "|72025002|133852242
"CH"|"Yes"|72025000|133852236
"MH"|"No "|72025000|133852237
"CL"|"No "|72025000|133852238
"CH"|"Yes"|72025001|133852239
"CL"|"No "|72025001|133852240
"SC-SM"|"Yes"|72024988|133852211
"SC"|"No "|72024988|133852212
"SM"|"No "|72024988|133852213
"CH"|"Yes"|72024987|133852209
"CL"|"No "|72024987|133852210
"CH"|"Yes"|72024986|133852206
"MH"|"No "|72024986|133852207
"CL"|"No "|72024986|133852208
"SM"|"Yes"|72024991|133852217
"SM"|"Yes"|72024990|133852214
"SC-SM"|"No "|72024990|133852215
"SP-SM"|"No "|72024990|133852216
"SM"|"Yes"|72024992|133852218
"SC-SM"|"No "|72024992|133852219
"SP-SM"|"No "|72024992|133852220
"SM"|"Yes"|72024993|133852221
"SC-SM"|"No "|72024993|133852222
"SP-SM"|"No "|72024993|133852223
"SM"|"Yes"|72024995|133852225
"SC-SM"|"No "|72024995|133852226
"SP-SM"|"No "|72024995|133852227
"SM"|"Yes"|72024994|133852224
"CL"|"Yes"|72024764|133851782
"SC"|"Yes"|72024765|133851783
"CL"|"No "|72024765|133851784
"CH"|"Yes"|72025104|133852448
"CL"|"No "|72025104|133852449
"CL"|"Yes"|72025105|133852450
"CH"|"No "|72025105|133852451
"CL"|"Yes"|72025106|133852452
"CH"|"No "|72025106|133852453
"SC"|"No "|72025106|133852454
"SM"|"Yes"|72024535|133851339
"SC"|"No "|72024535|133851340
"SM"|"Yes"|72024536|133851341
"SC"|"No "|72024536|133851342
"CL"|"No "|72024533|133851333
"SC-SM"|"No "|72024533|133851334
"SC"|"Yes"|72024533|133851335
"CL"|"No "|72024534|133851336
"SC-SM"|"No "|72024534|133851337
"SC"|"Yes"|72024534|133851338
"SM"|"Yes"|72024532|133851331
"SC"|"No "|72024532|133851332
"SM"|"Yes"|72024946|133852139
"SC"|"Yes"|72024947|133852140
"CL"|"No "|72024947|133852141
"SC-SM"|"No "|72024947|133852142
"SM"|"Yes"|72024945|133852138
"CL"|"Yes"|72025198|133852622
"SC"|"No "|72025198|133852623
"CL"|"Yes"|72025199|133852624
"SC"|"No "|72025199|133852625
"SM"|"Yes"|72025200|133852626
"CL-ML"|"No "|72025200|133852627
"CH"|"No "|72025175|133852582
"CL"|"Yes"|72025175|133852583
"CL"|"Yes"|72025174|133852580
"CL-ML"|"No "|72025174|133852581
"CL"|"No "|72025176|133852584
"CH"|"Yes"|72025176|133852585
"CL"|"No "|72025177|133852586
"CH"|"Yes"|72025177|133852587
"SC-SM"|"No "|72025172|133852575
"SM"|"Yes"|72025172|133852576
"SM"|"No "|72025173|133852577
"CL-ML"|"No "|72025173|133852578
"SC-SM"|"Yes"|72025173|133852579
"CH"|"Yes"|72025224|133852680
"SC"|"No "|72025224|133852681
"CH"|"Yes"|72025225|133852682
"SC"|"No "|72025225|133852683
"SC"|"Yes"|72025221|133852673
"CL"|"No "|72025221|133852674
"SM"|"No "|72025221|133852675
"CL"|"Yes"|72025223|133852678
"SC"|"No "|72025223|133852679
"CL"|"Yes"|72025222|133852676
"SC"|"No "|72025222|133852677
"SC"|"Yes"|72025220|133852670
"CL"|"No "|72025220|133852671
"SM"|"No "|72025220|133852672
"SM"|"Yes"|72025128|133852505
"SC-SM"|"No "|72025128|133852506
"SM"|"Yes"|72025127|133852503
"SC-SM"|"No "|72025127|133852504
"CL"|"Yes"|72025130|133852509
"SC"|"No "|72025130|133852510
"SC"|"Yes"|72025129|133852507
"CL"|"No "|72025129|133852508
"SM"|"Yes"|72024949|133852143
"SC-SM"|"No "|72024949|133852144
"SM"|"Yes"|72024950|133852145
"SC-SM"|"No "|72024950|133852146
"CL"|"Yes"|72024951|133852147
"SC"|"No "|72024951|133852148
"CL"|"Yes"|72024952|133852149
