"comppct_l"|"comppct_r"|"comppct_h"|"compname"|"compkind"|"majcompflag"|"otherph"|"localphase"|"slope_l"|"slope_r"|"slope_h"|"slopelenusle_l"|"slopelenusle_r"|"slopelenusle_h"|"runoff"|"tfact"|"wei"|"weg"|"erocl"|"earthcovkind1"|"earthcovkind2"|"hydricon"|"hydricrating"|"drainagecl"|"elev_l"|"elev_r"|"elev_h"|"aspectccwise"|"aspectrep"|"aspectcwise"|"geomdesc"|"albedodry_l"|"albedodry_r"|"albedodry_h"|"airtempa_l"|"airtempa_r"|"airtempa_h"|"map_l"|"map_r"|"map_h"|"reannualprecip_l"|"reannualprecip_r"|"reannualprecip_h"|"ffd_l"|"ffd_r"|"ffd_h"|"nirrcapcl"|"nirrcapscl"|"nirrcapunit"|"irrcapcl"|"irrcapscl"|"irrcapunit"|"cropprodindex"|"constreeshrubgrp"|"wndbrksuitgrp"|"rsprod_l"|"rsprod_r"|"rsprod_h"|"foragesuitgrpid"|"wlgrain"|"wlgrass"|"wlherbaceous"|"wlshrub"|"wlconiferous"|"wlhardwood"|"wlwetplant"|"wlshallowwat"|"wlrangeland"|"wlopenland"|"wlwoodland"|"wlwetland"|"soilslippot"|"frostact"|"initsub_l"|"initsub_r"|"initsub_h"|"totalsub_l"|"totalsub_r"|"totalsub_h"|"hydgrp"|"corcon"|"corsteel"|"taxclname"|"taxorder"|"taxsuborder"|"taxgrtgroup"|"taxsubgrp"|"taxpartsize"|"taxpartsizemod"|"taxceactcl"|"taxreaction"|"taxtempcl"|"taxmoistscl"|"taxtempregime"|"soiltaxedition"|"castorieindex"|"flecolcomnum"|"flhe"|"flphe"|"flsoilleachpot"|"flsoirunoffpot"|"fltemik2use"|"fltriumph2use"|"indraingrp"|"innitrateleachi"|"misoimgmtgrp"|"vasoimgtgrp"|"mukey"|"cokey"
0|5|10|"Tenaha"|"Series"|"No "|""|""|5|13|20|15|27|49|""||||"Class 1"|""|""|""|"No"|"Well drained"|122|176|229|80|150|220|"interfluves on coastal plains"||||17|18|19|1016|1219|1422||||||||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Loamy, siliceous, semiactive, thermic Arenic Hapludults"|"Ultisols"|"Udults"|"Hapludults"|"Arenic Hapludults"|"loamy"|"not used"|"semiactive"|"not used"|"thermic"|"Udic"|"thermic"|"eleventh edition"|||||||"N/A"|"N/A"|||||575624|24232411
0|5|10|"Sacul"|"Series"|"No "|""|""|5|13|20|15|27|49|""||||"Class 1"|"Tree cover"|"Intermixed conifers and hardwoods"|""|"No"|"Moderately well drained"|122|176|229|80|150|220|"interfluves on coastal plains"||||17|18|19|1016|1219|1422||||240|250|260||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine, mixed, active, thermic Aquic Hapludults"|"Ultisols"|"Udults"|"Hapludults"|"Aquic Hapludults"|"fine"|"not used"|"active"|"not used"|"thermic"|"Aquic"|"thermic"|"twelfth edition"|||||||"N/A"|"N/A"|||||575624|24232412
5|10|15|"Kirvin"|"Series"|"No "|""|""|1|5|8|40|49|91|""||||"Class 1"|""|""|""|"No"|"Well drained"|122|176|229|80|150|220|"interfluves on coastal plains"||||17|18|19|1016|1219|1422||||209|227|241||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine, mixed, semiactive, thermic Typic Hapludults"|"Ultisols"|"Udults"|"Hapludults"|"Typic Hapludults"|"fine"|"not used"|"semiactive"|""|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575624|24232413
|80||"Cuthbert"|"Series"|"Yes"|""|""|8|14|20|15|24|40|"High"|3|56|5|"Class 1"|"Tree cover"|"Intermixed conifers and hardwoods"|""|"No"|"Well drained"|122|176|229|80|150|220|"interfluves on coastal plains"||0.23||17|18|19|1016|1219|1422||||235|253|270|6|"e"|||""|||"6a"|||||||||||||||||||"None"|0|0|0||||"C"|"High"|"Moderate"|"Clayey, mixed, thermic Typic Hapludults"|"Ultisols"|"Udults"|"Hapludults"|"Typic Hapludults"|"clayey"|"not used"|"not used"|"not used"|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575625|24232247
5|10|15|"Sacul"|"Series"|"No "|""|""|5|13|20|15|27|49|""||||"Class 1"|"Tree cover"|"Intermixed conifers and hardwoods"|""|"No"|"Moderately well drained"|122|176|229|80|150|220|"interfluves on coastal plains"||||17|18|19|1016|1219|1422||||240|250|260||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine, mixed, active, thermic Aquic Hapludults"|"Ultisols"|"Udults"|"Hapludults"|"Aquic Hapludults"|"fine"|"not used"|"active"|"not used"|"thermic"|"Aquic"|"thermic"|"twelfth edition"|||||||"N/A"|"N/A"|||||575625|24232248
5|10|15|"Kirvin"|"Series"|"No "|""|""|1|5|8|40|49|91|""||||"Class 1"|""|""|""|"No"|"Well drained"|122|176|229|80|150|220|"interfluves on coastal plains"||||17|18|19|1016|1219|1422||||209|227|241||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine, mixed, semiactive, thermic Typic Hapludults"|"Ultisols"|"Udults"|"Hapludults"|"Typic Hapludults"|"fine"|"not used"|"semiactive"|""|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575625|24232249
|80||"Cuthbert"|"Series"|"Yes"|""|""|5|18|30|15|15|49|"High"|3|86|3|"Class 1"|"Tree cover"|"Intermixed conifers and hardwoods"|""|"No"|"Well drained"|122|176|229|80|150|220|"interfluves on coastal plains"||0.23||17|18|19|1016|1219|1422||||235|253|270|7|"s"|||""|||"6a"|||||||||||||||||||"None"|0|0|0||||"C"|"High"|"High"|"Clayey, mixed, thermic Typic Hapludults"|"Ultisols"|"Udults"|"Hapludults"|"Typic Hapludults"|"clayey"|"not used"|"not used"|"not used"|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575626|24232250
5|10|15|"Sacul"|"Series"|"No "|""|""|5|13|20|15|27|49|""||||"Class 1"|"Tree cover"|"Intermixed conifers and hardwoods"|""|"No"|"Moderately well drained"|122|176|229|80|150|220|"interfluves on coastal plains"||||17|18|19|1016|1219|1422||||240|250|260||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine, mixed, active, thermic Aquic Hapludults"|"Ultisols"|"Udults"|"Hapludults"|"Aquic Hapludults"|"fine"|"not used"|"active"|"not used"|"thermic"|"Aquic"|"thermic"|"twelfth edition"|||||||"N/A"|"N/A"|||||575626|24232251
5|10|15|"Kirvin"|"Series"|"No "|""|""|1|5|8|40|49|91|""||||"Class 1"|""|""|""|"No"|"Well drained"|122|176|229|80|150|220|"interfluves on coastal plains"||||17|18|19|1016|1219|1422||||209|227|241||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Fine, mixed, semiactive, thermic Typic Hapludults"|"Ultisols"|"Udults"|"Hapludults"|"Typic Hapludults"|"fine"|"not used"|"semiactive"|""|"thermic"|""|"thermic"|""|||||||"N/A"|"N/A"|||||575626|24232252
0|5|5|"Lilbert"|"Series"|"No "|""|""|1|3|5|49|61|91|""||||"Class 1"|""|""|""|"No"|"Well drained"|122|168|213|80|150|220|"interfluves on coastal plains"||||17|19|20|1016|1143|1270||||230|245|260||""|||""|||"Not rated"|||||||||||||||||||"None"|||||||""|""|""|"Loamy, siliceous, semiactive, thermic Arenic Plinthic Paleudults"|"Ultisols"|"Udults"|"Paleudults"|"Arenic Plinthic Paleudults"|"loamy"|"not used"|"semiactive"|"not used"|"thermic"|"Udic"|"thermic"|"twelfth edition"|||||||"N/A"|"N/A"|||||575627|24232369
