"musym"|"muname"|"mustatus"|"slopegraddcp"|"slopegradwta"|"brockdepmin"|"wtdepannmin"|"wtdepaprjunmin"|"flodfreqdcd"|"flodfreqmax"|"pondfreqprs"|"aws025wta"|"aws050wta"|"aws0100wta"|"aws0150wta"|"drclassdcd"|"drclasswettest"|"hydgrpdcd"|"iccdcd"|"iccdcdpct"|"niccdcd"|"niccdcdpct"|"engdwobdcd"|"engdwbdcd"|"engdwbll"|"engdwbml"|"engstafdcd"|"engstafll"|"engstafml"|"engsldcd"|"engsldcp"|"englrsdcd"|"engcmssdcd"|"engcmssmp"|"urbrecptdcd"|"urbrecptwta"|"forpehrtdcp"|"hydclprs"|"awmmfpwwta"|"mukey"
"KgC"|"Kirvin gravelly fine sandy loam, 2 to 5 percent slopes"||4|3.9|112|||"None"|"None"|0|2.25|4.86|11.36|17.1|"Well drained"|"Well drained"|"C"||100|4|85|"Somewhat limited"|"Somewhat limited"|"Not rated"|"Not rated"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Somewhat limited"|"Poor"|"Not rated"|"Somewhat limited"|0.04|"Slight"|0|0.5|578224
"KsC"|"Kirvin soils graded, 2 to 8 percent slopes"||5|5.1|104|||"None"|"None"|0|3.35|6.6|13.1|18.68|"Well drained"|"Well drained"|"C"||100|6|95|"Somewhat limited"|"Somewhat limited"|"Not rated"|"Not rated"|"Very limited"|"Not rated"|"Very limited"|"Somewhat limited"|"Somewhat limited"|"Very limited"|"Poor"|"Not rated"|"Somewhat limited"|0.206|"Moderate"|0|1|578225
"La"|"Laneville loam, occasionally flooded"||0.5|0.5||69|69|"Occasional"|"Occasional"|0|3.5|7.09|14.59|22.09|"Moderately well drained"|"Moderately well drained"|"C"||100|2|82|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Poor"|"Not rated"|"Somewhat limited"|0.137|"Slight"|18|1|578226
"Lf"|"Laneville loam, 0 to 1 percent slopes, frequently flooded"||0.5|0.5||56|56|"Frequent"|"Frequent"|0|3.5|7.12|14.62|22.12|"Moderately well drained"|"Moderately well drained"|"C/D"|5|84|5|84|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Poor"|"Not rated"|"Somewhat limited"|0.4|"Slight"|6|1|578227
"LtB"|"Latex very fine sandy loam, 1 to 3 percent slopes"||2|2||114|114|"None"|"None"|0|3.59|7.41|15.03|22.64|"Moderately well drained"|"Moderately well drained"|"B"||85|2|95|"Somewhat limited"|"Somewhat limited"|"Somewhat limited"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Somewhat limited"|"Somewhat limited"|"Somewhat limited"|"Poor"|"Poor"|"Somewhat limited"|0.116|"Slight"|0|1|578228
"LyC"|"Lilbert loamy fine sand, 2 to 5 percent slopes"||4|4||||"None"|"None"|0|2|4|10.1|16.6|"Well drained"|"Well drained"|"B"|3|90|3|90|"Not limited"|"Not limited"|"Not limited"|"Not rated"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Not limited"|"Fair"|"Not rated"|"Somewhat limited"|0.664|"Slight"|0|1|578229
"GeG"|"Geneva silt loam, 15 to 40 percent slopes"||25|25||||"None"|"None"|0|4.21|7.78|15.11|21.53|"Well drained"|"Well drained"|"D"|6|90|6|90|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Poor"|"Fair"|"Very limited"|1|"Severe"|0|1|578230
"Me"|"Mattex clay loam, 0 to 1 percent slopes, frequently flooded"||0.5|0.5||33||"Frequent"|"Frequent"|0|3.7|7.2|14.2|21.58|"Somewhat poorly drained"|"Somewhat poorly drained"|"B/D"|5|90|5|90|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Poor"|"Not rated"|"Somewhat limited"|0.98|"Slight"|90|1|578231
"Mo"|"Mattex-Owentown complex, frequently flooded"||0.5|0.6||53|99|"Frequent"|"Frequent"|0|3.63|7.23|14.23|21.23|"Somewhat poorly drained"|"Very poorly drained"|"B/D"||100|5|45|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Fair"|"Not rated"|"Somewhat limited"|0.27|"Slight"|60|0.812|578232
"MthB"|"Hallsummit fine sandy loam, 1 to 3 percent slopes"||2|2||||"None"|"None"|0|3.82|7.82|15.76|23.26|"Well drained"|"Well drained"|"C"|3|80|3|80|"Not limited"|"Not limited"|"Not limited"|"Not rated"|"Very limited"|"Not rated"|"Very limited"|"Somewhat limited"|"Somewhat limited"|"Somewhat limited"|"Fair"|"Not rated"|"Somewhat limited"|0.043|"Slight"|0|1|578233
"MvA"|"Mollville-Besner complex, 0 to 1 percent slopes, frequently ponded"||0.5|0.6||0|0|"None"|"None"|50|4.02|7.66|14.95|22.54|"Poorly drained"|"Poorly drained"|"C/D"|4|50|4|50|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Fair"|"Not rated"|"Very limited"|0.558|"Slight"|50|0.653|578234
"Na"|"Naconiche mucky sandy loam, frequently flooded"||1|1||15|15|"Frequent"|"Frequent"|0|3.25|6.3|12.04|17.54|"Very poorly drained"|"Very poorly drained"|"B/D"||100|7|90|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Fair"|"Not rated"|"Very limited"|1|"Slight"|90|1|578235
