"aashtocl"|"rvindicator"|"chkey"|"chaashtokey"
"A-4"|"Yes"|72025173|117699665
"A-7-6"|"Yes"|72025224|117699758
"A-7-6"|"Yes"|72025225|117699759
"A-4"|"Yes"|72025221|117699751
"A-6"|"No "|72025221|117699752
"A-2-4"|"No "|72025221|117699753
"A-6"|"Yes"|72025223|117699756
"A-7-6"|"No "|72025223|117699757
"A-6"|"Yes"|72025222|117699754
"A-7-6"|"No "|72025222|117699755
"A-4"|"Yes"|72025220|117699748
"A-6"|"No "|72025220|117699749
"A-2-4"|"No "|72025220|117699750
"A-2-4"|"Yes"|72025128|117699594
"A-4"|"No "|72025128|117699595
"A-2-4"|"Yes"|72025127|117699592
"A-4"|"No "|72025127|117699593
"A-6"|"Yes"|72025130|117699599
"A-7-6"|"No "|72025130|117699600
"A-4"|"No "|72025130|117699601
"A-6"|"Yes"|72025129|117699596
"A-7-6"|"No "|72025129|117699597
"A-2-6"|"No "|72025129|117699598
"A-2-4"|"Yes"|72024949|117699272
"A-4"|"No "|72024949|117699273
"A-2-4"|"Yes"|72024950|117699274
"A-4"|"No "|72024950|117699275
"A-6"|"Yes"|72024951|117699276
"A-7-6"|"No "|72024951|117699277
"A-2-6"|"No "|72024951|117699278
"A-6"|"Yes"|72024952|117699279
"A-7-6"|"No "|72024952|117699280
"A-4"|"No "|72024952|117699281
"A-2-4"|"No "|72024330|117698200
"A-3"|"Yes"|72024330|117698201
"A-2-4"|"No "|72024331|117698202
"A-3"|"Yes"|72024331|117698203
"A-4"|"Yes"|72024910|117699207
"A-2-4"|"No "|72024910|117699208
"A-6"|"No "|72024910|117699209
"A-6"|"Yes"|72024911|117699210
"A-7-6"|"No "|72024911|117699211
"A-2-4"|"Yes"|72024637|117698748
"A-3"|"No "|72024637|117698749
"A-2-4"|"Yes"|72024638|117698750
"A-3"|"No "|72024638|117698751
"A-7-6"|"Yes"|72025097|117699535
"A-7-6"|"Yes"|72025096|117699534
"A-6"|"Yes"|72025098|117699536
"A-2-4"|"No "|72025098|117699537
"A-2-4"|"Yes"|72024753|117698944
"A-4"|"No "|72024753|117698945
"A-7-6"|"Yes"|72024752|117698942
"A-7-5"|"No "|72024752|117698943
"A-4"|"Yes"|72025202|117699716
"A-2-4"|"No "|72025202|117699717
"A-7-6"|"Yes"|72025201|117699714
"A-7-5"|"No "|72025201|117699715
"A-6"|"Yes"|72024561|117698612
"A-2-4"|"No "|72024561|117698613
"A-7-6"|"Yes"|72024562|117698614
"A-2-7"|"No "|72024562|117698615
"A-4"|"Yes"|72024565|117698618
"A-2-4"|"No "|72024565|117698619
"A-7-6"|"Yes"|72024563|117698616
"A-7-5"|"No "|72024563|117698617
"A-7-6"|"Yes"|72024755|117698946
"A-7-5"|"No "|72024755|117698947
"A-4"|"Yes"|72024756|117698948
"A-2-4"|"No "|72024756|117698949
"A-7-6"|"Yes"|72025207|117699724
"A-6"|"No "|72025207|117699725
"A-6"|"Yes"|72025209|117699728
"A-4"|"No "|72025209|117699729
"A-7-6"|"Yes"|72025208|117699726
"A-6"|"No "|72025208|117699727
"A-4"|"Yes"|72024760|117698951
"A-4"|"Yes"|72024759|117698950
"A-7-6"|"Yes"|72024350|117698234
"A-7-6"|"Yes"|72024351|117698235
